酒店名称	酒店类型	位置信息	起价	评分	点评数
大华精品宾馆(哈尔滨会展中心店)	经济型	近哈尔滨国际会展中心 · 龙塔/会展中心	¥245起	4.2	共67条评论
哈尔滨泰瑞诚宾馆		近阿城区 · 阿城商业区	¥92起	4.9	共11条评论
禧龙宾馆(哈尔滨医大一院店)	经济型	近博物馆地铁站 · 哈尔滨站/果戈里商业区/医大一院	¥368起	4.2	共21条评论
哈尔滨壹家·民宿	经济型	近江北大学城地铁站 · 江北大学城	¥234起	4.9	共6条评论
哈尔滨优佳快捷宾馆	经济型	近哈尔滨二四二医院 · 平房区政府	¥85起	4.9	共26条评论
哈尔滨新乐旅馆	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥49起	4.8	共7条评论
哈尔滨童乐公寓	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥271起	4.8	共23条评论
哈尔滨鸿翼宾馆(太平国际机场店)	经济型	近立业奶牛养殖小区 · 太平国际机场地区	¥162起	4.9	共317条评论
哈尔滨不了情宾馆		近中华巴洛克风情街 · 道外巴洛克	¥92起	4.3	共5条评论
豪庭快捷宾馆		近731部队罪证遗址 · 平房区政府	¥141起	4.7	共23条评论
哈尔滨芊禧主题旅馆	经济型	近黑龙江工商学院 · 江北大学城	¥57起	4.9	共13条评论
哈尔滨切尔思宾馆		近红旗大街 · 龙塔/会展中心	¥49起	4.7	共8条评论
佳偶宾馆		近江北大学城地铁站 · 江北大学城	¥70起	4.9	共12条评论
哈尔滨家欣旅馆	经济型	近哈尔滨工业大学(二校区) · 龙塔/会展中心	¥70起	4.9	共13条评论
哈尔滨鼎盛宾馆	经济型	近黑龙江东方学院 · 平房区政府	¥93起	4.6	共6条评论
哈尔滨永康旅店		近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥80起	4.9	共16条评论
鸿瑞宾馆(黑龙江中医药大学店)		近东北林业大学 · 江南大学城	¥60起	4.5	共25条评论
鸿瑞宾馆(黑龙江中医药大学店)		近东北林业大学 · 江南大学城	¥60起	4.5	共25条评论
哈尔滨阳光快捷旅馆		近东北农业大学地铁站 · 龙塔/会展中心	¥61起	5.0	共5条评论
枫月民宿(永达路分店)		近地恒·托斯卡纳 · 呼兰站	¥248起	4.8	共15条评论
哈尔滨瑞城商务宾馆(国际会展中心店)		近哈尔滨国际会展中心 · 龙塔/会展中心	¥122起	4.2	共8条评论
哈尔滨朋来旅馆	经济型	近红旗大街 · 龙塔/会展中心	¥50起	4.9	共9条评论
哈尔滨鑫淼旅馆(安德街)		近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥36起	4.7	共8条评论
哈尔滨晴阳宾馆	经济型	近印象城 · 阿城商业区	¥105起	4.4	共29条评论
哈尔滨欣然宾馆	经济型	近江北大学城地铁站 · 江北大学城	¥68起	4.7	共11条评论
凯航宾馆(哈尔滨太平国际机场店)		近先富小学校 · 太平国际机场地区	¥136起	4.8	共80条评论
哈尔滨市途果假日酒店公寓		近群力大道 · 群力新区	¥192起	4.6	共7条评论
哈尔滨国强快捷宾馆		近731部队罪证遗址 · 平房区政府	¥134起	4.5	共38条评论
顺心旅店	经济型	近黑龙江建筑职业技术学院 · 江北大学城	¥103起	4.3	共15条评论
哈尔滨爱尚快捷宾馆	经济型	近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥67起	4.8	共7条评论
哈尔滨鲁三旺快捷宾馆	经济型	近哈尔滨市呼兰区利民中学校 · 呼兰站	¥80起	4.5	共16条评论
通顺网络快捷宾馆	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥13起	4.7	共20条评论
哈尔滨青苹果时尚宾馆		近太平桥地铁站 · 工程大学/哈尔滨东站	¥194起	4.7	共45条评论
哈尔滨龙门太空舱青年旅舍	经济型	近中央大街地铁站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥133起	4.7	共17条评论
爱电竞酒店(哈尔滨西站万达广场店)	经济型	近哈西万达广场 · 哈西万达广场	¥378起	4.8	共8条评论
哈尔滨佰芳公寓		近中山路 · 龙塔/会展中心	¥81起	4.3	共7条评论
哈尔滨铭居宾馆	经济型	近黑龙江民族职业学院 · 平房区政府	¥144起	4.7	共40条评论
哈尔滨晶淅月天时尚宾馆	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥196起	4.0	共22条评论
七彩假日酒店式公寓(哈尔滨万达店)		近哈西万达广场 · 哈西万达广场	¥233起	4.2	共14条评论
哈尔滨龙成商务宾馆(哈西万达广场店)		近哈尔滨西站 · 哈西万达广场	¥254起	4.4	共19条评论
哈尔滨丁香花旅馆		近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥70起	4.9	共15条评论
哈尔滨嘉苑宾馆	经济型	近桐楠格领誉 · 群力新区	¥100起	4.5	共6条评论
哈尔滨家兴快捷宾馆	经济型	近万达广场(哈东店) · 哈东万达广场	¥78起	4.9	共10条评论
哈尔滨世贸如馨公寓	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥174起	4.9	共15条评论
永兴旅店(哈尔滨医大二院店)		近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥70起	4.8	共11条评论
广信木子公寓(中源大道分店)		近东北虎林园 · 冰雪大世界/太阳岛	¥242起	5.0	共13条评论
哈尔滨悦意快捷旅馆	经济型	近南直路地铁站 · 龙塔/会展中心	¥90起	4.9	共14条评论
吉尼斯酒店式公寓(群力星光耀店)	经济型	近群力大道 · 群力新区	¥473起	4.7	共7条评论
哈尔滨鼎鑫家庭宾馆(哈尔滨医大二院店)	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥111起	4.9	共66条评论
哈尔滨鑫鹏宾馆太平国际机场店	经济型	近先富小学校 · 太平国际机场地区	¥268起	4.8	共32条评论
哈尔滨孙姐旅馆	经济型	近哈尔滨医科大学附属肿瘤医院 · 乐松广场/东北林业大学/香坊商业区	¥82起	5.0	共18条评论
口碑主题公寓(哈尔滨万达店)	经济型	近哈西万达广场 · 哈西万达广场	¥311起	4.8	共10条评论
哈尔滨喜光主题小宾馆		近红旗大街 · 龙塔/会展中心	¥44起	4.7	共10条评论
哈尔滨朝鲜族旅馆		近哈尔滨东站 · 工程大学/哈尔滨东站	¥155起	4.4	共7条评论
林科院招待所(哈尔滨火车站店)		近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥250起	4.0	共17条评论
麦田主题宾馆(哈尔滨江北大学城店)	经济型	近黑龙江建筑职业技术学院 · 江北大学城	¥89起	4.4	共43条评论
哈尔滨华滨旅店	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥39起	4.8	共13条评论
哈尔滨久佳宜宾馆	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥89起	4.9	共11条评论
华夏精品酒店(哈尔滨江北大学城店)	经济型	近江北大学城地铁站 · 江北大学城	¥146起	4.7	共21条评论
哈尔滨鑫马旅馆		近江北大学城地铁站 · 江北大学城	¥59起	4.4	共19条评论
哈尔滨白杨旅店	经济型	近黑龙江工程学院 · 工程大学/哈尔滨东站	¥117起	4.5	共5条评论
哈尔滨顺鑫宾馆		近省医院地铁站 · 龙塔/会展中心	¥98起	4.6	共16条评论
哈尔滨石榴家主题公寓		近哈西万达广场 · 哈西万达广场	¥672起	4.9	共10条评论
哈尔滨鑫盛宾馆		近哈尔滨市阿城区第一中学 · 阿城商业区	¥81起	4.7	共25条评论
恒旗假日宾馆(哈尔滨火车站店)	经济型	近果戈里大街 · 哈尔滨站/果戈里商业区/医大一院	¥268起	4.2	共158条评论
哈尔滨万晟酒店	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥193起	4.4	共33条评论
哈尔滨卓怡时尚主题旅馆	经济型	近黑龙江工商学院 · 江北大学城	¥48起	4.8	共36条评论
哈尔滨溪岸小筑公寓		近远大购物中心(群力店) · 群力新区	¥335起	4.8	共16条评论
龙兴宾馆(哈尔滨第二医院胸科医院店)		近哈药集团制药六厂 · 工程大学/哈尔滨东站	¥123起	4.8	共12条评论
哈尔滨家佳精品宾馆(剑桥学院店)	经济型	近名都滑雪场 · 医大二院/哈南站	¥80起	4.5	共15条评论
哈尔滨香坊鑫居旅馆		近省医院地铁站 · 龙塔/会展中心	¥41起	4.9	共18条评论
哈尔滨居家宾馆	经济型	近哈西大街 · 哈西万达广场	¥69起	4.6	共14条评论
哈尔滨云上公寓	经济型	近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛	¥254起	5.0	共6条评论
哈尔滨鑫源旅店	经济型	近红旗大街 · 龙塔/会展中心	¥37起	4.7	共7条评论
佳兴民宿	经济型	近黑龙江农垦职业学院 · 江北大学城	¥49起	4.7	共12条评论
哈尔滨腾云宾馆		近南城首府 · 平房区政府	¥70起	4.9	共21条评论
阳光时钟旅馆(哈尔滨长安小区店)	经济型	近哈尔滨市阿城区第一中学 · 阿城商业区	¥49起	4.8	共22条评论
哈尔滨云杉国际青年旅舍		近哈尔滨西站 · 哈西万达广场	¥97起	4.0	共19条评论
笨宝宝民宿(松浦大道1号分店)		近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛	¥169起	4.9	共59条评论
万达酒店式公寓(哈尔滨服装城店)		近黑龙江大学 · 江南大学城	¥173起	4.7	共37条评论
哈尔滨邂逅拾光公寓	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥271起	4.7	共19条评论
哈尔滨万顺宾馆	经济型	近哈尔滨科学技术职业学院 · 阿城商业区	¥212起	4.6	共46条评论
哈尔滨道里龙凤旅店	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥37起	4.1	共8条评论
哈尔滨浩宁商务会馆	舒适型	近哈尔滨市图书馆双城市中心分馆 · 双城	¥88起	4.6	共8条评论
尚岛酒店(哈尔滨机场路店)	经济型	近道里区机场路综合整理办公室	¥249起	4.9	共23条评论
哈尔滨白鹿居公寓(哈西宜家家居店)	经济型	近哈西大街地铁站 · 哈西万达广场	¥408起	4.9	共14条评论
哈尔滨龙海休闲宾馆		近哈尔滨商业大学(北校区) · 冰雪大世界/太阳岛	¥152起	4.7	共9条评论
哈尔滨303快捷宾馆	经济型	近印象城 · 阿城商业区	¥90起	4.2	共9条评论
哈尔滨鑫鸟巢宾馆	经济型	近哈尔滨医科大学附属肿瘤医院 · 江南大学城	¥141起	4.8	共7条评论
哈尔滨清馨幽舍民宿	经济型	近哈西万达广场 · 哈西万达广场	¥281起	4.5	共28条评论
恒大印象日租公寓(体南路分店)		近印象城 · 阿城商业区	¥143起	4.8	共52条评论
哈尔滨梦想时尚快捷宾馆	经济型	近黑龙江旅游职业技术学院 · 医大二院/哈南站	¥70起	4.6	共15条评论
哈尔滨丰源快捷宾馆		近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥118起	4.4	共9条评论
哈尔滨上诚公寓	经济型	近哈尔滨工程大学 · 工程大学/哈尔滨东站	¥347起	4.8	共21条评论
哈尔滨学院E家民宿	经济型	近黑龙江农垦职业学院 · 江北大学城	¥38起	4.7	共18条评论
多乐时钟旅馆(哈尔滨民权街店)		近印象城 · 阿城商业区	¥86起	4.1	共6条评论
瑷诚宾馆(哈尔滨六顺街店)		近省医院地铁站 · 龙塔/会展中心	¥106起	4.9	共25条评论
瑷诚宾馆(哈尔滨六顺街店)		近省医院地铁站 · 龙塔/会展中心	¥106起	4.9	共25条评论
哈尔滨美棣快捷宾馆	经济型	近名都滑雪场 · 医大二院/哈南站	¥80起	4.6	共105条评论
哈尔滨哈西万达吉禾主题公寓	经济型	近哈西万达广场 · 哈西万达广场	¥429起	4.7	共52条评论
哈尔滨秀水嘉禾快捷宾馆		近哈尔滨铁道职业技术学院 · 平房区政府	¥136起	4.5	共12条评论
哈尔滨优品宾馆	经济型	近哈尔滨医科大学附属第一医院 · 道外巴洛克	¥172起	4.4	共9条评论
哈尔滨华北快捷旅馆	经济型	近太平桥地铁站 · 工程大学/哈尔滨东站	¥55起	4.4	共18条评论
哈尔滨哈西金沙宾馆(哈西万达广场店)	经济型	近万达广场(哈尔滨哈西店) · 哈西万达广场	¥332起	4.1	共26条评论
哈尔滨南岗鼎盛快捷宾馆	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥312起	4.6	共57条评论
鸿航假日宾馆(哈尔滨太平国际机场店)	经济型	近先富小学校 · 太平国际机场地区	¥200起	4.7	共53条评论
爱干净的猫公寓(莱茵河街1号分店)	经济型	近江北大学城地铁站 · 江北大学城	¥138起	4.8	共11条评论
哈尔滨晓英旅店	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥80起	4.5	共50条评论
哈尔滨轩凝民宿		近江北大学城地铁站 · 江北大学城	¥141起	5.0	共7条评论
哈尔滨龙凤旅店	经济型	近省政府地铁站 · 江南大学城	¥153起	4.1	共8条评论
私寓城市民宿(王岗大街分店)		近哈尔滨西站 · 哈西万达广场	¥200起	4.9	共186条评论
哈尔滨宇和宾馆		近呼兰第一中学 · 呼兰站	¥123起	4.6	共9条评论
哈尔滨芒果公寓	经济型	近黑龙江农垦职业学院 · 江北大学城	¥44起	4.7	共17条评论
哈尔滨安心旅馆	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥92起	4.9	共20条评论
哈尔滨百巢宾馆	经济型	近哈尔滨市创新科技技工学校 · 平房区政府	¥145起	4.0	共7条评论
哈尔滨小敏公寓	经济型	近黑龙江大学 · 江南大学城	¥214起	4.8	共25条评论
哈尔滨住这吧酒店式公寓	经济型	近群力大道 · 群力新区	¥295起	4.7	共5条评论
哈尔滨宏烨宾馆	经济型	近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥109起	4.7	共34条评论
哈尔滨港湾快捷宾馆	经济型	近阿城区 · 阿城商业区	¥72起	4.8	共20条评论
哈尔滨瑞隆宾馆	经济型	近先锋路与禧龙大街交叉口 · 哈东万达广场	¥105起	4.7	共20条评论
哈尔滨悦途宾馆	经济型	近群力第五大道地铁站 · 群力新区	¥106起	4.1	共38条评论
幸福时刻公寓(发展大道分店)		近哈尔滨西站 · 哈西万达广场	¥190起	4.8	共140条评论
鑫彩宾馆(哈尔滨西大桥店)	经济型	近哈工大地铁站 · 江南大学城	¥219起	4.3	共13条评论
哈尔滨艾尚宾馆	经济型	近江北大学城地铁站 · 江北大学城	¥152起	4.6	共7条评论
哈尔滨好来客宾馆		近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥162起	4.3	共24条评论
哈尔滨慧鑫主题宾馆	经济型	近哈尔滨铁道职业技术学院 · 平房区政府	¥70起	4.9	共8条评论
哈尔滨凤梅旅馆	经济型	近哈尔滨医科大学附属第二医院 · 医大二院/哈南站	¥58起	4.6	共5条评论
哈尔滨桐源快捷旅馆		近黑龙江中医药大学附属第一医院 · 江南大学城	¥70起	4.7	共15条评论
慧缘快捷宾馆(哈尔滨火车站店)	经济型	近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥104起	4.4	共11条评论
哈尔滨佳佳旅馆	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥116起	4.4	共13条评论
哈尔滨齿轮招待所		近工农大街地铁站 · 群力新区	¥71起	4.9	共12条评论
哈尔滨好佳电竞观影酒店		近黑龙江工程学院 · 工程大学/哈尔滨东站	¥276起	4.7	共31条评论
哈尔滨自然醒时尚宾馆	经济型	近利民开发区 · 呼兰站	¥56起	4.9	共12条评论
志华商场民宿(兴民路分店)		近江北大学城地铁站 · 江北大学城	¥52起	4.4	共19条评论
新茹公寓(宜春路分店)		近江北大学城地铁站 · 江北大学城	¥191起	4.9	共21条评论
美巢公寓(哈尔滨和祥路店)		近黑龙江中医药大学附属第一医院 · 龙塔/会展中心	¥173起	4.8	共13条评论
吉达宾馆(哈尔滨太平国际机场店)	经济型	近太平镇人民政府 · 太平国际机场地区	¥139起	4.5	共12条评论
房东田哥公寓(长春街分店)		近中华巴洛克风情街 · 道外巴洛克	¥284起	4.5	共12条评论
小欢喜哈尔滨公寓(浦阳东路分店)		近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛	¥191起	4.5	共12条评论
禧龙宾馆(哈尔滨建国店)	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥254起	4.6	共48条评论
哈尔滨龙尔快捷宾馆	经济型	近和平路/民生路(路口) · 龙塔/会展中心	¥182起	4.4	共10条评论
米墅酒店式民宿(环路分店)		近哈尔滨西站 · 哈西万达广场	¥310起	4.9	共7条评论
天天快捷宾馆(哈尔滨哈东站店)	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥121起	4.6	共16条评论
哈尔滨哈西百合公寓	经济型	近哈西万达广场 · 哈西万达广场	¥213起	4.9	共5条评论
哈尔滨星光耀休闲公寓	经济型	近群力大道 · 群力新区	¥284起	4.9	共7条评论
哈尔滨富强快捷宾馆	经济型	近太平桥地铁站 · 工程大学/哈尔滨东站	¥70起	4.8	共22条评论
哈尔滨隐庐公寓		近哈西万达广场 · 哈西万达广场	¥243起	5.0	共10条评论
温馨岛旅馆(哈尔滨师大店)	经济型	近学府路地铁站 · 江南大学城	¥71起	4.2	共17条评论
哈尔滨17号休闲小旅馆	经济型	近哈尔滨体育学院 · 龙塔/会展中心	¥124起	4.8	共14条评论
哈尔滨清新雅居公寓	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥612起	4.5	共7条评论
哈尔滨四季春天宾馆	经济型	近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥157起	4.4	共15条评论
有晚奢野精品民宿	经济型	近哈尔滨西站 · 哈西万达广场	¥709起	5.0	共24条评论
哈尔滨美好时光休闲旅馆	经济型	近江北大学城地铁站 · 江北大学城	¥70起	4.6	共12条评论
皓沄贰公寓(兆麟街分店)		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥410起	4.8	共25条评论
哈尔滨百通旅店	经济型	近君康大厦 · 群力新区	¥81起	5.0	共5条评论
哈尔滨鑫隆仓买旅店	经济型	近君康大厦 · 群力新区	¥73起	4.9	共8条评论
哈尔滨丽江怡休时尚旅馆		近工农大街地铁站 · 群力新区	¥100起	4.6	共11条评论
哈尔滨红顺宾馆	经济型	近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥266起	4.8	共7条评论
哈尔滨祥云雅致时尚宾馆	经济型	近中山路 · 龙塔/会展中心	¥161起	4.6	共18条评论
哈尔滨海鑫公寓	经济型	近哈尔滨铁道职业技术学院 · 平房区政府	¥48起	4.5	共5条评论
哈尔滨桃盛快捷宾馆	经济型	近黑龙江东方学院 · 平房区政府	¥123起	4.0	共7条评论
哈尔滨富盈快捷宾馆		近中山路 · 龙塔/会展中心	¥78起	4.9	共9条评论
哈尔滨君泰假日酒店	经济型	近学府路 · 医大二院/哈南站	¥86起	4.6	共8条评论
哈尔滨锦豪宾馆	经济型	近机场路/工农大街(路口)	¥141起	4.7	共5条评论
慢生活懒悠悠精品民宿(康德路分店)		近江北大学城地铁站 · 江北大学城	¥142起	4.6	共26条评论
fafa民宿(和谐大道分店)		近哈西万达广场 · 哈西万达广场	¥443起	4.9	共121条评论
哈尔滨鑫家客公寓	经济型	近江北大学城地铁站 · 江北大学城	¥112起	4.8	共5条评论
动力宾馆(哈尔滨乐松店)	经济型	近黑龙江中医药大学附属第一医院 · 乐松广场/东北林业大学/香坊商业区	¥122起	4.0	共8条评论
予墨精品民宿(工厂街分店)		近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥2551起	4.6	共8条评论
哈尔滨梦游仙境主题快捷宾馆	经济型	近新阳路 · 中央大街/索菲亚大教堂/防洪纪念塔	¥184起	4.0	共10条评论
Miko酱要早点毕业公寓(永达路分店)	经济型	近杉杉奥特莱斯广场(哈尔滨店) · 呼兰站	¥346起	4.9	共40条评论
叮咚民宿	经济型	近太平桥地铁站 · 工程大学/哈尔滨东站	¥263起	5.0	共5条评论
毅克拉公寓(世茂大道分店)		近哈尔滨市人民政府 · 冰雪大世界/太阳岛	¥299起	4.9	共7条评论
小懒猫之家公寓(群力第六大道2号分店)		近群力大道 · 群力新区	¥206起	4.7	共34条评论
暖暖公寓(新马路分店)		近圣索菲亚教堂 · 道外巴洛克	¥1065起	4.8	共14条评论
汐悦精品哈市销量TOP1)民宿(上游街分店)		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1159起	4.9	共7条评论
海淇旅租公寓(友谊路1号分店)a		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥809起	4.9	共12条评论
美丽哈尔滨公寓(丰源街3号分店)		近银河欢乐世界 · 冰雪大世界/太阳岛	¥728起	4.8	共8条评论
哈西商厦民宿(服装三道街分店)		近哈尔滨医科大学 · 江南大学城	¥561起	4.9	共11条评论
慵懒时光公寓(王岗大街分店)		近哈西万达广场 · 哈西万达广场	¥461起	4.7	共8条评论
小欢喜哈尔滨公寓(松浦大道1号分店)		近黑龙江省纪检监察干部学院 · 冰雪大世界/太阳岛	¥187起	5.0	共7条评论
理想之家公寓(南兴街分店)		近哈西万达广场 · 哈西万达广场	¥381起	5.0	共9条评论
哈尔滨马迭尔·宿	经济型	近哈工大地铁站 · 江南大学城	¥182起	4.1	共19条评论
安舒民宿(承德街店)	经济型	近中华巴洛克风情街 · 道外巴洛克	¥281起	4.7	共7条评论
玲玲家温馨小窝公寓(测绘路1号分店)		近哈尔滨师大夜市 · 江南大学城	¥343起	5.0	共10条评论
时光追宿房东公寓(宏大路分店)		近中华巴洛克风情街 · 道外巴洛克	¥284起	4.8	共9条评论
草原驿站(南兴街分店)		近哈西万达广场 · 哈西万达广场	¥280起	5.0	共8条评论
香榭丽舍闲居阁公寓(利民东三大街分店)		近安康路与和谐路交叉口 · 江北大学城	¥256起	4.8	共13条评论
星都招待所(哈尔滨火车站店)		近哈尔滨站前广场 · 哈尔滨站/果戈里商业区/医大一院	¥62起	5.0	共5条评论
梅洁旅店(哈尔滨火车站店)		近哈尔滨站 · 哈尔滨站/果戈里商业区/医大一院	¥46起	5.0	共5条评论
哈尔滨喜家快捷旅馆		近南城首府 · 平房区政府	¥90起	5.0	共6条评论
哈尔滨泰迪熊主题宾馆		近香坊站 · 乐松广场/东北林业大学/香坊商业区	¥141起	4.6	共6条评论
微原宿公寓(一面街分店)		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥505起	4.9	共12条评论
美丽哈尔滨公寓(丰源街4号分店)		近融创茂(哈尔滨店) · 冰雪大世界/太阳岛	¥411起	4.9	共18条评论
冰城电竞公寓	经济型	近黑龙江大学 · 江南大学城	¥378起	5.0	共7条评论
遇见公寓(浦顺街分店)		近富力城 · 冰雪大世界/太阳岛	¥417起	4.8	共15条评论
悦客之家冰城店民宿(丰源街分店)		近万达华园 · 冰雪大世界/太阳岛	¥371起	5.0	共14条评论
悦客之家冰城店民宿(丰源街分店)		近万达华园 · 冰雪大世界/太阳岛	¥371起	5.0	共14条评论
萍萍房东公寓(学兴路分店)		近东北林业大学 · 江南大学城	¥391起	4.9	共16条评论
多乐时钟旅馆(哈尔滨清真广场店)	经济型	近哈尔滨科学技术职业学院 · 阿城商业区	¥88起	4.2	共6条评论
哈尔滨聚鑫旅馆		近黑龙江农垦职业学院 · 江北大学城	¥40起	4.7	共6条评论
哈尔滨捌月听花主题客栈	经济型	近江北大学城地铁站 · 江北大学城	¥34起	4.6	共6条评论
哈尔滨多鑫宾馆	经济型	近哈尔滨铁道职业技术学院 · 平房区政府	¥80起	4.5	共6条评论
暖暖如家公寓(世茂大道分店)		近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥173起	4.9	共12条评论
哈尔滨宜家时尚宾馆		近哈尔滨师范大学呼兰实验学校 · 呼兰站	¥90起	4.5	共12条评论
予墨精品民宿(田地街分店)		近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1680起	5.0	共6条评论
哈尔滨旺发快捷宾馆		近哈尔滨工程大学 · 工程大学/哈尔滨东站	¥100起	4.6	共6条评论
龙湾草居公寓(世茂大道分店)		近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥219起	4.7	共60条评论
冰城途乐公寓(哈西大街分店)		近哈西大街地铁站 · 哈西万达广场	¥527起	4.9	共41条评论
微会民宿(环路分店)		近哈尔滨西站 · 哈西万达广场	¥332起	5.0	共47条评论
哈尔滨舒逸主题驿站	经济型	近黑龙江民族职业学院 · 平房区政府	¥158起	5.0	共6条评论
睿豪精品公寓		近哈尔滨西站 · 哈西万达广场	¥207起	4.7	共7条评论
哈尔滨华轩宾馆		近利民开发区 · 呼兰站	¥90起	4.7	共15条评论
逍游艾斯登宾馆(哈尔滨哈西万达店)	经济型	近哈西万达广场 · 哈西万达广场	¥103起	4.4	共11条评论
予墨精品民宿(世纪大道分店)		近哈尔滨市人民政府 · 冰雪大世界/太阳岛	¥4130起	5.0	共45条评论
家馨主题宾馆(哈尔滨融江路店)		近群力家园 · 群力新区	¥125起	4.8	共7条评论
哈尔滨私人空间酒店式公寓	经济型	近黑龙江东方学院 · 平房区政府	¥196起	5.0	共7条评论
哈尔滨宜家休闲旅馆	经济型	近万达广场(哈尔滨哈西店) · 哈西万达广场	¥187起	4.4	共8条评论
哈尔滨道里鑫缘宾馆	经济型	近民生尚都 · 群力新区	¥100起	4.9	共6条评论
fafa民宿(中兴大道分店)		近哈西万达广场 · 哈西万达广场	¥443起	4.9	共10条评论
世纪花园商务会馆(冰雪大世界店)	经济型	近哈医大四院(松北分院) · 冰雪大世界/太阳岛	¥380起	5.0	共12条评论
橙途FX103890民宿(学府三道街分店)		近黑龙江大学 · 江南大学城	¥296起	4.9	共14条评论
哈尔滨金海快捷宾馆	经济型	近富佳新天地(宝安路) · 呼兰站	¥78起	5.0	共5条评论
哈尔滨橡果民宿(金融学院店)	经济型	近哈尔滨金融学院 · 龙塔/会展中心	¥272起	4.8	共149条评论
经典时钟旅馆(哈尔滨北新店)	经济型	近阿城区 · 阿城商业区	¥52起	5.0	共11条评论
禹捷商旅宾馆	经济型	近哈尔滨东站 · 工程大学/哈尔滨东站	¥165起	4.8	共7条评论
金博民宿		近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥228起	4.3	共8条评论
哈尔滨壹山水汇洗浴会所	经济型	近利民开发区 · 呼兰站	¥204起	4.7	共5条评论
哈尔滨雨阳宾馆	经济型	近哈尔滨西站 · 哈西万达广场	¥100起	4.4	共7条评论
哈尔滨e家精品公寓	经济型	近远大购物中心(群力店) · 群力新区	¥342起	4.9	共8条评论
哈尔滨悦橙森活酒店	经济型	近中央大街 · 中央大街/索菲亚大教堂/防洪纪念塔	¥1063起	4.2	共5条评论
哈尔滨西金宾馆	经济型	近哈尔滨市图书馆双城市中心分馆 · 双城	¥67起	4.5	共7条评论
丽波公寓(南直路1号分店)		近哈尔滨国际会展中心 · 龙塔/会展中心	¥236起	4.9	共11条评论
哈尔滨金悦莱酒店	经济型	近中华巴洛克风情街 · 道外巴洛克	¥342起	4.7	共19条评论
房东丽丽公寓(哈尔滨大街分店)	经济型	近哈西万达广场 · 哈西万达广场	¥276起	4.8	共28条评论
哈尔滨有壹家公寓	经济型	近远大购物中心(群力店) · 群力新区	¥286起	4.7	共16条评论
哈尔滨宜诺空间电竞酒店	经济型	近哈西万达广场 · 哈西万达广场	¥440起	4.5	共5条评论
汉庭莫泰如家千禧民宿(天翔街分店)	经济型	近哈尔滨松北万象汇 · 冰雪大世界/太阳岛	¥184起	4.9	共66条评论
Rickyhome公寓(经纬街分店)		近哈尔滨站 · 中央大街/索菲亚大教堂/防洪纪念塔	¥452起	4.9	共50条评论
